06-278,34,41,1
08-472,18,31,1
05-8820,22,16,0
06-134,22,19,0
05-996,15,16,0
09-571,26,39,1
10-1024,19,16,1
10-6,30,21,0
11-182,37,54,0
03-407,25,29,1
08-214,14,16,0
09-529,45,19,1
11-1025,29,25,1
11-161,32,33,0
04-1495,32,34,1
10-1491,19,24,0
10-1265,29,28,1
07-901,14,20,1
08-205,23,38,1
07-1309,18,25,0
07-562,18,36,0
06-1181,27,27,1
08-1008,22,19,1
08-604,28,24,0
06-1195,24,37,1
04-1140,25,21,0
08-645,29,34,1
06-1286,21,32,0
08-108,18,19,1
05-1342,15,26,0
08-351,47,35,1
08-1402,27,30,1
11-1160,36,26,0
09-497,32,38,1
07-21,29,25,0
04-108,29,28,0
11-1351,13,40,1
07-1239,26,20,1
10-875,22,19,0
03-923,22,38,1
05-18,24,26,1
08-969,26,40,1
08-769,36,30,0
07-1410,15,20,1
04-805,17,20,1
06-1413,26,21,0
11-338,29,16,1
04-433,11,19,1
10-235,23,18,0
09-834,27,24,1
05-128,22,30,1
09-751,33,30,0
04-1528,22,31,1
04-37,20,23,1
03-1454,19,41,1
04-980,42,27,1
03-9659,24,31,1
06-1082,29,26,1
11-817,22,14,0
06-593,7,20,1
05-1284,21,15,1
05-416,39,28,1
02-1672,29,25,1
08-453,23,24,1
06-5247,17,19,0
07-1122,30,33,1
09-11311,25,27,0
10-9995,22,22,1
06-1646,18,25,1
04-5462,32,29,1
07-1437,9,9,1
04-6432,9,33,0
05-1256,18,13,1
07-588,25,35,1
10-209,26,42,1
10-699,21,22,1
07-1223,15,21,0
08-6261,24,60,0
05-204,52,32,1
08-1151,30,47,0
07-463,28,14,1
05-7053,18,23,0
07-689,23,24,0
09-150,39,41,1
08-661,36,12,1
04-1170,16,22,1
09-1036,31,37,1
08-998,9,14,0
08-1314,18,30,1
11-1175,25,25,0
06-666,13,25,1
03-725,28,37,0
06-5754,17,19,0
03-1164,61,81,1
03-1488,19,27,1
10-704,35,48,1
11-184,24,17,1
09-1279,19,10,1
07-9995,27,27,0
06-571,11,25,1
06-11429,27,3,0
04-1704,44,34,1
10-945,38,34,0
10-6549,22,29,1
03-409,25,5,1
07-10374,14,39,1
05-1120,24,30,1
12-17,35,22,0
07-542,32,8,0
07-1015,26,37,1
06-11206,18,25,1
07-312,34,19,1
08-678,13,21,0
06-8273,21,16,1
05-593,9,21,0
05-5224,29,31,0
11-1447,26,40,1
11-262,23,35,1
10-8505,20,34,0
10-224,27,25,1
07-543,19,37,1
04-623,47,32,0
06-694,27,13,1
11-159,13,48,1
07-455,7,11,1
04-1034,33,28,1
04-885,29,33,0
10-788,34,12,0
10-1016,14,19,0
10-1104,20,29,1
08-1448,42,39,0
05-983,18,22,1
03-9685,15,20,0
07-1216,18,31,0
09-400,22,12,1
08-146,22,8,1
09-60,36,21,1
06-1287,14,22,1
08-310,40,39,1
07-1601,20,42,1
10-9646,36,31,1
07-512,11,19,1
05-705,16,15,0
08-992,20,21,1
06-856,27,24,1
04-514,32,18,1
08-1470,51,27,1
03-932,23,19,1
04-340,26,14,0
06-1005,27,16,0
06-7949,30,23,1
04-1332,29,16,1
11-8976,32,32,0
04-480,39,26,1
03-750,27,50,1
10-1001,28,28,1
09-846,23,16,1
04-278,27,20,1
10-1018,18,42,1
09-115,40,21,0
08-1371,37,63,0
05-7058,21,20,1
10-1219,25,13,0
09-559,44,32,0
08-6,36,36,1
04-712,14,46,1
05-1508,15,33,0
06-8120,30,18,1
05-184,43,62,1
05-998,8,21,1
07-219,47,39,1
10-114,28,21,1
10-98,18,11,1
10-8974,29,14,1
05-908,13,18,1
11-556,16,25,0
10-1121,24,19,1
10-444,29,18,1
08-1175,39,36,1
06-376,14,19,0
07-411,22,36,1
03-1500,15,12,0
09-993,13,37,1
04-1581,26,25,1
06-102,3,6,1
11-210,38,28,0
04-905,75,26,1
08-1198,39,33,1
09-5327,39,26,1
03-636,18,27,1
11-626,42,23,0
08-5274,23,34,0
11-139,31,23,0
06-11612,20,11,0
08-9156,21,22,0
05-1157,22,18,1
11-246,45,17,0
03-9046,15,21,1
06-10119,28,27,1
10-63,33,32,1
05-381,20,23,1
06-1595,22,20,1
08-192,16,31,1
05-409,14,22,1
03-287,26,16,0
09-996,20,29,1
04-5286,28,41,0
05-9222,4,17,0
08-295,23,31,1
06-1249,20,29,0
04-1244,28,44,1
11-45,23,36,0
09-1163,18,51,1
09-337,16,67,1
10-8145,13,51,1
03-1237,29,23,1
06-1037,11,22,1
05-502,26,21,1
10-1062,20,40,1
07-854,8,20,1
11-88,36,14,0
04-637,38,27,1
04-881,42,15,0
04-1371,20,57,1
08-1529,12,27,1
06-1463,11,36,1
07-371,36,36,1
11-1450,18,13,1
08-1224,23,34,1
10-553,27,34,1
11-1347,38,25,1
11-345,56,60,1
05-608,51,69,1
10-879,27,15,0
04-368,20,45,1
06-766,21,29,1
11-1085,24,18,0
07-1090,7,27,1
04-1350,14,20,1
11-9540,15,28,1
09-10245,27,29,1
03-1039,31,7,1
06-457,20,31,0
06-313,16,23,0
04-848,38,82,1
09-1205,14,15,1
09-158,22,13,1
04-9728,98,62,0
11-94,19,28,1
